"","X","Unnamed..0","total_loop_times","fc_loop_times","cross_size","minimum_duration","memory_duration","delay_duration","choice_duration","list_index","monkey","target_pic","target_pic_position","pic_bottom","pic_left","pic_right","pic_chosen","pic_chosen_position","choice_rt","response","reward_ornot","jitter_iti","Cumulative_Correct_Rate","trial_index"
"67",6,6,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","left",1.40090180002153,0,0,1.54226649178977,0.857142857142857,67
"68",7,7,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom",0.92142999987118,1,1,1.18963273600113,0.875,68
"69",8,8,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right",2.09394849999808,1,1,1.43778943461149,0.888888888888889,69
"70",9,9,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",0.621834800112993,1,1,1.06885957916248,0.9,70
"71",10,10,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom",0.515155400149524,1,1,1.51295297400348,0.909090909090909,71
"72",11,11,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right",1.96659299987368,1,1,1.19169740710509,0.916666666666667,72
"73",12,12,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left",1.37240520003252,1,1,2.11531650075294,0.923076923076923,73
"74",13,13,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left",1.12376689980738,1,1,1.34416593656882,0.928571428571429,74
"75",14,14,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","left",0.439245899906382,0,0,1.05468899384511,0.866666666666667,75
"76",15,15,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",0.396770599996671,1,1,1.81723489741014,0.875,76
"77",16,16,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",1.36410779994912,1,1,1.74294796648023,0.882352941176471,77
"78",17,17,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","left",1.05814499990083,0,0,2.29601455553933,0.833333333333333,78
"79",18,18,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","right",1.43098809989169,0,0,0.65358321254069,0.789473684210526,79
"80",19,19,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left",0.882045200094581,1,1,2.00733422218978,0.8,80
"81",0,0,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom",0.961884799879044,1,1,1.62495560595609,1,81
"82",1,1,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom",0.606456100009382,1,1,1.96500390271865,1,82
"83",2,2,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","bottom",0.59901970019564,0,0,0.84422198479595,0.666666666666667,83
"84",3,3,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",0.873427100013942,1,1,1.88150218924714,0.75,84
"85",4,4,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left",0.221635900205001,1,1,1.45523369873554,0.8,85
"86",5,5,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left",0.805423600133508,1,1,1.99664146705703,0.833333333333333,86
"87",6,6,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","left",0.186691199894994,1,1,0.820352616854959,0.857142857142857,87
"88",7,7,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",0.846420899964869,1,1,1.20583715860733,0.875,88
"89",8,8,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","bottom",0.665176899870858,1,1,1.61639199508467,0.888888888888889,89
"90",9,9,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","bottom",0.595675999997184,1,1,1.63957923686457,0.9,90
"91",10,10,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left",0.938988400157541,1,1,1.65693209480344,0.909090909090909,91
"92",11,11,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right",0.90787380002439,1,1,1.54829705932693,0.916666666666667,92
"93",12,12,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","left",0.253000400029123,0,0,0.885175378098576,0.846153846153846,93
"94",13,13,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","bottom",0.621525099966675,0,0,1.80429730932532,0.785714285714286,94
"95",14,14,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right",0.353082600049675,1,1,2.17974094581261,0.8,95
"96",15,15,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right",0.779433599906042,1,1,2.14314624008221,0.8125,96
"97",16,16,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right",1.12658789986745,1,1,1.13635941480142,0.823529411764706,97
"98",17,17,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","left",0.682724299840629,0,0,2.15417469022958,0.777777777777778,98
"99",18,18,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left",2.40538859996013,1,1,2.00732605926562,0.789473684210526,99
"100",19,19,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","right",0.382138300221413,1,1,0.908938547608153,0.8,100
