,Unnamed: 0,total_loop_times,fc_loop_times,cross_size,minimum_duration,memory_duration,delay_duration,choice_duration,list_index,monkey,target_pic,target_pic_position,pic_bottom,pic_left,pic_right,pic_chosen,pic_chosen_position,choice_rt,response,reward_ornot,jitter_iti,Cumulative_Correct_Rate,trial_index
0,0,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,left,0.3141854000277817,0,0,1.651631222988546,0.0,1
1,1,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,0.4101399001665413,1,1,1.6705294703050504,0.5,2
2,2,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,bottom,0.566356300143525,0,0,1.933235231688968,0.3333333333333333,3
3,3,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,6.13416579994373,1,1,0.7096000718175419,0.5,4
4,4,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,left,0.2247128000017255,0,0,1.2286935291632486,0.4,5
5,5,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,bottom,3.3130667000077665,0,0,1.6278644078534463,0.3333333333333333,6
6,6,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,left,1.9600863999221476,0,0,1.426634806177292,0.2857142857142857,7
7,7,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,2.1833689000923187,1,1,2.45981649892564,0.375,8
8,8,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,right,1.373272000113502,0,0,0.9685786712636314,0.3333333333333333,9
9,9,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,right,2.4447390001732856,0,0,2.5149291573644232,0.3,10
10,10,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,bottom,2.357665300136432,0,0,1.4636229840807018,0.2727272727272727,11
11,11,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,right,2.103712199954316,0,0,1.5249995421022329,0.25,12
12,12,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,bottom,0.5168684998061508,0,0,2.093187131420388,0.23076923076923078,13
13,13,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,0.1878812999930232,1,1,1.9787700990478063,0.2857142857142857,14
14,14,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,bottom,1.3226668999996036,0,0,1.2415880822732923,0.26666666666666666,15
15,15,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,right,1.914007000159472,0,0,1.3753680235616108,0.25,16
16,16,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,left,1.5980499000288546,0,0,2.317739330765516,0.23529411764705882,17
17,17,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,2.409801899921149,1,1,1.8930476289813465,0.2777777777777778,18
18,18,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,1.44168039993383,1,1,1.8183022784234248,0.3157894736842105,19
19,19,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.7011830999981612,1,1,1.55513105605753,0.35,20
