Index,Type,Time,Desceiption
210,MSG,333843040,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1280 720 576 320
211,MSG,333843040,forcedmemory_start_pic_1
212,MSG,333843027,memory_iti_end
213,MSG,333841017,memory_iti_start
214,MSG,333841017,forcedmemory_end_pic_0
215,MSG,333841017,!V CLEAR 0 0 0
216,MSG,333836026,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
217,MSG,333836026,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 720 576 320
218,MSG,333836026,forcedmemory_start_pic_0
219,MSG,333836015,selfpaced_start_m_end
220,MSG,333835007,selfpaced_start_m_start
221,MSG,333835007,EYE_USED 1 RIGHT
222,MSG,333834869,!MODE RECORD CR 2000 2 1 R
223,MSG,333834868,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
224,MSG,333834868,ELCL_PROC ELLIPSE (5)
225,MSG,333834868,PUPIL_DATA_TYPE RAW_AUTOSLIP
226,MSG,333834868,CAMERA_LENS_FOCAL_LENGTH 27.00
227,MSG,333834868,ELCL_WINDOW_SIZES 160 160 0 0
228,MSG,333834868,THRESHOLDS R 65 201
229,MSG,333834868,GAZE_COORDS 0.00 0.00 2559.00 1439.00
230,MSG,333834868,ELCLCFG MPRIM
231,MSG,333834868,RECCFG CR 2000 2 1 R
232,MSG,333834825,jitter_iti_end_3
233,MSG,333833291,jitter_iti_start_3
234,MSG,333833291,punishment_end_3
235,MSG,333825287,punishment_start_3
236,MSG,333825287,forcedchoice_end_3
237,MSG,333825287,!V CLEAR 0 0 0
238,MSG,333822184,!V DRAWBOX 0 255 0 1845 537 1995 687
239,MSG,333822184,!V DRAWBOX 0 255 0 565 537 715 687
240,MSG,333822184,!V DRAWBOX 0 255 0 1205 1257 1355 1407
241,MSG,333822184,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
242,MSG,333822183,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
243,MSG,333822183,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
244,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 1920 251 576 320
245,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 640 251 576 320
246,MSG,333822183,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
247,MSG,333822183,forcedchoice_start_3
248,MSG,333822141,target_position : bottom
249,MSG,333822139,jitter_iti_end_2
250,MSG,333820671,jitter_iti_start_2
251,MSG,333820671,punishment_end_2
252,MSG,333812668,punishment_start_2
253,MSG,333812668,forcedchoice_end_2
254,MSG,333812668,!V CLEAR 0 0 0
255,MSG,333809310,!V DRAWBOX 0 255 0 1845 537 1995 687
256,MSG,333809310,!V DRAWBOX 0 255 0 565 537 715 687
257,MSG,333809310,!V DRAWBOX 0 255 0 1205 1257 1355 1407
258,MSG,333809310,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
259,MSG,333809310,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
260,MSG,333809310,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
261,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
262,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png 640 251 576 320
263,MSG,333809310,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png 1280 972 576 320
264,MSG,333809310,forcedchoice_start_2
265,MSG,333809271,target_position : right
266,MSG,333809268,jitter_iti_end_1
267,MSG,333806741,jitter_iti_start_1
268,MSG,333806741,punishment_end_1
269,MSG,333798738,punishment_start_1
270,MSG,333798738,forcedchoice_end_1
271,MSG,333798738,!V CLEAR 0 0 0
272,MSG,333795293,!V DRAWBOX 0 255 0 1845 537 1995 687
273,MSG,333795293,!V DRAWBOX 0 255 0 565 537 715 687
274,MSG,333795293,!V DRAWBOX 0 255 0 1205 1257 1355 1407
275,MSG,333795293,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
276,MSG,333795293,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
277,MSG,333795293,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
278,MSG,333795293,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 1920 251 576 320
279,MSG,333795293,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 640 251 576 320
280,MSG,333795293,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png 1280 972 576 320
281,MSG,333795293,forcedchoice_start_1
282,MSG,333795248,target_position : left
283,MSG,333795246,jitter_iti_end_0
284,MSG,333794267,jitter_iti_start_0
285,MSG,333794267,punishment_end_0
286,MSG,333786263,punishment_start_0
287,MSG,333786263,forcedchoice_end_0
288,MSG,333786263,!V CLEAR 0 0 0
289,MSG,333783890,!V DRAWBOX 0 255 0 1845 537 1995 687
290,MSG,333783890,!V DRAWBOX 0 255 0 565 537 715 687
291,MSG,333783890,!V DRAWBOX 0 255 0 1205 1257 1355 1407
292,MSG,333783890,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
293,MSG,333783890,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
294,MSG,333783890,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
295,MSG,333783890,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png 1920 251 576 320
296,MSG,333783890,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 640 251 576 320
297,MSG,333783890,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png 1280 972 576 320
298,MSG,333783890,forcedchoice_start_0
299,MSG,333783857,target_position : left
300,MSG,333783856,delay_end
301,MSG,333782850,delay_start
302,MSG,333782850,!V CLEAR 0 0 0
303,MSG,333782850,memory_iti_end
304,MSG,333780841,memory_iti_start
305,MSG,333780840,forcedmemory_end_pic_3
306,MSG,333780840,!V CLEAR 0 0 0
307,MSG,333775840,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
308,MSG,333775840,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1280 720 576 320
309,MSG,333775840,forcedmemory_start_pic_3
310,MSG,333775827,memory_iti_end
311,MSG,333773816,memory_iti_start
312,MSG,333773816,forcedmemory_end_pic_2
313,MSG,333773816,!V CLEAR 0 0 0
314,MSG,333768826,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
315,MSG,333768826,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 720 576 320
316,MSG,333768825,forcedmemory_start_pic_2
317,MSG,333768815,memory_iti_end
318,MSG,333766805,memory_iti_start
319,MSG,333766805,forcedmemory_end_pic_1
320,MSG,333766805,!V CLEAR 0 0 0
321,MSG,333761805,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
322,MSG,333761805,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 720 576 320
323,MSG,333761805,forcedmemory_start_pic_1
324,MSG,333761791,memory_iti_end
325,MSG,333759781,memory_iti_start
326,MSG,333759781,forcedmemory_end_pic_0
327,MSG,333759781,!V CLEAR 0 0 0
328,MSG,333754781,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
329,MSG,333754781,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 720 576 320
330,MSG,333754781,forcedmemory_start_pic_0
331,MSG,333754766,selfpaced_start_m_end
332,MSG,333753637,selfpaced_start_m_start
333,MSG,333753637,EYE_USED 1 RIGHT
334,MSG,333753500,!MODE RECORD CR 2000 2 1 R
335,MSG,333753499,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
336,MSG,333753499,ELCL_PROC ELLIPSE (5)
337,MSG,333753499,PUPIL_DATA_TYPE RAW_AUTOSLIP
338,MSG,333753499,CAMERA_LENS_FOCAL_LENGTH 27.00
339,MSG,333753499,ELCL_WINDOW_SIZES 160 160 0 0
340,MSG,333753499,THRESHOLDS R 65 201
341,MSG,333753499,GAZE_COORDS 0.00 0.00 2559.00 1439.00
342,MSG,333753499,ELCLCFG MPRIM
343,MSG,333753499,RECCFG CR 2000 2 1 R
344,MSG,333753457,jitter_iti_end_3
345,MSG,333750996,jitter_iti_start_3
346,MSG,333749003,reward_end_3
347,MSG,333749003,!V CLEAR 0 0 0
348,MSG,333747007,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1920 251 576 320
349,MSG,333747007,reward_start_3
350,MSG,333746988,forcedchoice_end_3
351,MSG,333746988,!V CLEAR 0 0 0
352,MSG,333743805,!V DRAWBOX 0 255 0 1845 537 1995 687
353,MSG,333743805,!V DRAWBOX 0 255 0 565 537 715 687
354,MSG,333743805,!V DRAWBOX 0 255 0 1205 1257 1355 1407
355,MSG,333743805,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
356,MSG,333743805,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
