Index,Type,Time,Desceiption
453,MSG,333675930,ELCL_WINDOW_SIZES 160 160 0 0
454,MSG,333675930,THRESHOLDS R 65 201
455,MSG,333675930,GAZE_COORDS 0.00 0.00 2559.00 1439.00
456,MSG,333675930,ELCLCFG MPRIM
457,MSG,333675930,RECCFG CR 2000 2 1 R
458,MSG,333675885,jitter_iti_end_3
459,MSG,333675171,jitter_iti_start_3
460,MSG,333673177,reward_end_3
461,MSG,333673177,!V CLEAR 0 0 0
462,MSG,333671180,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
463,MSG,333671180,reward_start_3
464,MSG,333671163,forcedchoice_end_3
465,MSG,333671163,!V CLEAR 0 0 0
466,MSG,333664029,!V DRAWBOX 0 255 0 1845 537 1995 687
467,MSG,333664029,!V DRAWBOX 0 255 0 565 537 715 687
468,MSG,333664029,!V DRAWBOX 0 255 0 1205 1257 1355 1407
469,MSG,333664029,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
470,MSG,333664029,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
471,MSG,333664029,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
472,MSG,333664029,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
473,MSG,333664029,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png 640 251 576 320
474,MSG,333664029,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png 1280 972 576 320
475,MSG,333664029,forcedchoice_start_3
476,MSG,333663969,target_position : right
477,MSG,333663967,jitter_iti_end_2
478,MSG,333662022,jitter_iti_start_2
479,MSG,333662022,punishment_end_2
480,MSG,333654019,punishment_start_2
481,MSG,333654019,forcedchoice_end_2
482,MSG,333654019,!V CLEAR 0 0 0
483,MSG,333652452,!V DRAWBOX 0 255 0 1845 537 1995 687
484,MSG,333652452,!V DRAWBOX 0 255 0 565 537 715 687
485,MSG,333652452,!V DRAWBOX 0 255 0 1205 1257 1355 1407
486,MSG,333652452,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
487,MSG,333652452,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
488,MSG,333652452,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
489,MSG,333652452,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 1920 251 576 320
490,MSG,333652452,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 640 251 576 320
491,MSG,333652452,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 1280 972 576 320
492,MSG,333652452,forcedchoice_start_2
493,MSG,333652381,target_position : left
494,MSG,333652379,jitter_iti_end_1
495,MSG,333650698,jitter_iti_start_1
496,MSG,333648705,reward_end_1
497,MSG,333648705,!V CLEAR 0 0 0
498,MSG,333646707,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 972 576 320
499,MSG,333646707,reward_start_1
500,MSG,333646690,forcedchoice_end_1
501,MSG,333646690,!V CLEAR 0 0 0
502,MSG,333645280,!V DRAWBOX 0 255 0 1845 537 1995 687
503,MSG,333645280,!V DRAWBOX 0 255 0 565 537 715 687
504,MSG,333645280,!V DRAWBOX 0 255 0 1205 1257 1355 1407
505,MSG,333645280,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
506,MSG,333645280,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
507,MSG,333645280,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
508,MSG,333645280,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png 1920 251 576 320
509,MSG,333645280,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png 640 251 576 320
510,MSG,333645280,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 972 576 320
511,MSG,333645280,forcedchoice_start_1
512,MSG,333645237,target_position : bottom
513,MSG,333645209,jitter_iti_end_0
514,MSG,333643555,jitter_iti_start_0
515,MSG,333643555,punishment_end_0
516,MSG,333635552,punishment_start_0
517,MSG,333635552,forcedchoice_end_0
518,MSG,333635552,!V CLEAR 0 0 0
519,MSG,333634238,!V DRAWBOX 0 255 0 1845 537 1995 687
520,MSG,333634238,!V DRAWBOX 0 255 0 565 537 715 687
521,MSG,333634238,!V DRAWBOX 0 255 0 1205 1257 1355 1407
522,MSG,333634238,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
523,MSG,333634238,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
524,MSG,333634238,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
525,MSG,333634238,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 1920 251 576 320
526,MSG,333634238,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png 640 251 576 320
527,MSG,333634238,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 972 576 320
528,MSG,333634238,forcedchoice_start_0
529,MSG,333634174,target_position : bottom
530,MSG,333634163,delay_end
531,MSG,333633158,delay_start
532,MSG,333633158,!V CLEAR 0 0 0
533,MSG,333633158,memory_iti_end
534,MSG,333631148,memory_iti_start
