,Unnamed: 0,total_loop_times,fc_loop_times,cross_size,minimum_duration,memory_duration,delay_duration,choice_duration,list_index,monkey,target_pic,target_pic_position,pic_bottom,pic_left,pic_right,pic_chosen,pic_chosen_position,choice_rt,response,reward_ornot,jitter_iti,Cumulative_Correct_Rate,trial_index
0,0,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,bottom,0.2549330999609083,0,0,1.0452253552746027,0.0,1
1,1,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,right,1.367957899812609,1,1,0.9389805440219569,0.5,2
2,2,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,bottom,1.62224439997226,0,0,1.3068790331325002,0.3333333333333333,3
3,3,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,bottom,0.4099336999934166,0,0,1.867252236845018,0.25,4
4,4,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,1.4565747999586165,1,1,1.990103249167614,0.4,5
5,5,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,left,0.7235594000667334,0,0,1.3078016869378308,0.3333333333333333,6
6,6,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,right,1.7724667000584304,0,0,1.5782946916071976,0.2857142857142857,7
7,7,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,1.166885300073773,1,1,2.338501721018797,0.375,8
8,8,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,0.6392586000729352,1,1,1.8881258472158804,0.4444444444444444,9
9,9,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,1.746480300091207,1,1,1.5685000354587166,0.5,10
10,10,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,0.7394429999403656,1,1,1.404549654228047,0.5454545454545454,11
11,11,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,1.9923802001867443,1,1,1.1295968458425616,0.5833333333333334,12
12,12,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.252250799909234,1,1,1.7078514018643778,0.6153846153846154,13
13,13,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,1.2807988999411464,1,1,0.5635508176525412,0.6428571428571429,14
14,14,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,1.167680700076744,1,1,1.2864126735701191,0.6666666666666666,15
15,15,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,right,1.1978205000050366,1,1,1.5713134083609657,0.6875,16
