,Unnamed: 0,total_loop_times,fc_loop_times,cross_size,minimum_duration,memory_duration,delay_duration,choice_duration,list_index,monkey,target_pic,target_pic_position,pic_bottom,pic_left,pic_right,pic_chosen,pic_chosen_position,choice_rt,response,reward_ornot,jitter_iti,Cumulative_Correct_Rate,trial_index
0,0,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,1.656821799930185,1,1,1.757319102611521,1.0,1
1,1,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.3814597001764923,1,1,0.9101037779482892,1.0,2
2,2,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,0.7136096998583525,1,1,0.9653812670798724,1.0,3
3,3,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,0.3512846000958234,1,1,0.7864869147294529,1.0,4
4,4,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,1.1282003000378609,1,1,0.9782685893500598,1.0,5
5,5,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.2495403999928385,1,1,1.1668959809861292,1.0,6
6,6,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,left,1.4009018000215292,0,0,1.5422664917897655,0.8571428571428571,7
7,7,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,0.9214299998711796,1,1,1.189632736001131,0.875,8
8,8,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,right,2.0939484999980778,1,1,1.4377894346114906,0.8888888888888888,9
9,9,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.6218348001129925,1,1,1.0688595791624826,0.9,10
